상세검색_서비스분야,상세검색_지원형태,상세검색_신청방법,지원형태,신청기간,접수기관,전화문의,지원대상,선정기준,지원내용,신청방법,제출서류,문의처,관계법령,최종수정일
생활안정,현금,온라인신청,현금,상시신청,주민센터,기획예산담당관실 (☎ 041-660-2149),"○ 출생일 기준 부 또는 모가 서산시 관내 주민등록을 두고 첫째, 둘째는 1개월 이상, 셋째이상은 1년이상 거주한 자",,"○ 지원대상 - 관내 주민등록상 신생아를 출생신고 한 가정 - 출산일을 기준으로 시 관내에 (첫째, 둘째) 1개월, (셋째 이후) 1년 전부터 주민등록을 두고 실제 거주하고 있는 신생아의 보호자(부 또는 모) ○ 지원내용 : 첫째 50만원, 둘째 100만원, 셋째 500만원, 넷째이상 1,000만원 - 셋째아 이상 : 지원금의 1/2 지급, 12개월 후 잔여분 지급",○ 방문 신청  - 주민센터 : 출생자 주소지 행정복지센터 방문 신청 ○ 온라인 신청  - 정부24 : www.gov.kr(출생일로부터 1년 이내 신청),,,,2022-07-14
생활안정,현금,온라인신청,현금,상시신청,주민센터,복지정책과 (☎ 031-729-2835),○ 매월1일 현재 성남시 거주 국가유공자 및 유족 중 만65세이상,,"○ 매월 1일 현재 성남시 거주 국가유공자 및 유족 중 만 65세 이상자에게 매월 100,000원 보훈명예수당 지급",○ 방문 신청 - 주민센터 : 거주지 관할 읍·면·동 주민센터 방문https://service.go.kr/,,,,2022-05-02
생활안정,현금,온라인신청,현금,상시신청,보건소,서귀포시 서귀포보건소 (☎ 064-760-6082)서귀포시 동부보건소 (☎ 064-760-6762),○ 제주특별자치도에 주민등록 및 외국인 등록을 둔 '21.1.1 이후 출산가정,,"○  산모신생아 건강관리서비스 이용시 정부지원금 외 본인부담금의 50%, 최대 40만원 지원","<도내 산모신생아 제공기관 이용>○  서비스 제공기관에서 보건소로 청구  <도외 산모신생아 제공기관 이용(타지역 제공기관) >○ 방문 신청 - 보건소 : 이용자가 보건소로 신청 - 신청방법 : 산모신생아 건강관리 서비스 이용 완료 후 신청 - 구비서류 : 산모신생아 건강관리 서비스 이용계약서, 서비스 제공기록, 본인부담금 영수증, 개인정보 제공 동의서,  통장사본",,,,2021-11-26
생활안정,현금,온라인신청,현금,상시신청,주민센터,가족정책과 (☎ 052-209-3915),○ 울산 동구 관내에 출생신고한 모든 출산가정 ○ 부모 중 1명 이상이 출생일 기준 1개월 전부터 동구 거주 및 주민등록상 등재되어 있어야 함,,"○ 동구 관내 모든 출산가정에 출생 자녀순위별 출산장려금 차등 지원 - 1자녀 40만원, 2자녀 50만원, 3자녀 이상 100만원",○ 온라인 신청  - 정부24 : http://www.gov.kr,출산장려금 신청서,,,2022-02-02
생활안정,현금,온라인신청,현금,상시신청,주민센터,복지정책과 (☎ 033-737-2614),"○ 보훈영예수당 대상자 - 6.25참전자, 월남참전자, 무공수훈자, 전상군경, 공상군경, 4.19상이, 4.19상이유족, 4.19공로, 재일학도의용군유족, 전상군경유족, 공상군경유족,전몰군경유족, 순직군경유족, 순국선열유족, 애국지사유족, 특수임무유공자 ○ 보훈영예수당(배우자수당) 대상자 - 6.25참전자, 월남참전자가 사망한 경우 그 배우자",,○ 보훈영예수당 - 보훈영예수당 대상자에 월 10만원 현금지급 - 참전유공자 사망시 배우자에 월 5만원 현금지급  ○ 사망위로금 : 보훈영예수당 대상자 사망시 유족에게 20만원 1회 지급,○ 방문 신청 - 주민센터 : 주소지 관할 읍면동 주민센터에 방문 신청,,,,2021-11-24
생활안정,현금,온라인신청,현금,상시신청,주민센터,안양시청 복지정책과 (☎ 031-8045-5554),○ 국가보훈대상자,,○ 광복절 독립유공자 위문금 : 인당 10만원 ○ 국가유공자 보훈명예수당 지원 : 인당 10만원(월) ○ 사망위로금 지원 : 인당 15만원,○ 방문 신청 - 주민센터 : 주소지 관할 읍·면·동 주민센터 방문,,,,2022-07-07
생활안정,현금,온라인신청,현금,상시신청,주민센터,복지정책과 (☎ 032-880-7318),○ 만 65세 이상 국가유공자 또는 수권자로 지정된 유족(예외: 독립유공자의 경우 만 65세 미만 포함),,○ 만 65세 이상 국가유공자 또는 수권자로 지정된 유족에게 반기별 5만원 지급,○ 방문 신청 - 주민센터 : 거주지 관할 읍면동 주민센터에 방문 신청,"유공자증, 통장",,,2022-07-15
생활안정,현금,온라인신청,현금,상시신청,주민센터,광주광역시 콜센터 (☎ 062-120)동구청 복지정책과 (☎ 062-608-2555),○ 신청일을 기준으로 국가보훈처에 등록된 5․18민주유공자와 그 유족 중 광주광역시에 주민등록을 두고 실제로 거주하고 있는 자 - 생계지원비 : 월 소득액이 「국민기초생활보장법」에 따른 중위소득의 100% 이하인 가구(세대) 또는 만 65세 이상인 자 - 민주명예수당 : 생계지원비를 지급받지 못하는 대상자  - 장제비 : 5․18민주유공자 본인이 사망한 가구,,○ 지원대상 : 광주광역시 거주 5·18민주유공자 및 유족 ○ 지원내용 - 생활지원금 지원  ㆍ생계지원비(월10만원) : 만 65세이상 또는 기준중위소득 100% 이하  ㆍ민주명예수당(월5만원) : 생계지원비를 지급받지 못하는 유공자 또는 유족   ※ 생계지원비와 민주명예수당 중복지급 불가   - 유공자 본인 사망시 장제비 100만원 지급,○ 방문 신청 : 거주지 관할 동 주민센터에 방문 신청,"신청서, 5·18유공자증 및 유족증, 통장 사본, 신분증 등",,,2022-07-05
생활안정,현금,온라인신청,현금,상시신청,주민센터,복지정책과 (☎ 031-481-2876),"○ 「국가기보훈기본법」 및 국가보훈관계 법령에서 정하고 있는 국가보훈대상자 및 수권유족 - (순국선열, 애국지사, 전몰군경, 순직군경, 공상군경, 무공수훈자, 보국수훈자, 6.25참전 재일학도의용군인, 참전유공자, 4.19혁명사망자, 4.19혁명부상자, 4.19혁명공로자, 순직공무원, 공상공무원, 국가사회발전 특별공로순직자, 국가사회발전 특별공로상이자, 국가사회발전 특별공로자, 5.18민주화운동 사망자 또는 행방불명자, 5.18민주화운동부상자, 그 밖의 5.18민주화운동희생자, 특수임무사망자 또는 행방불명자, 특수임무부상자, 특수임무공로자, 재해사망군경, 재해부상군경, 재해사망공무원, 재해부상공무원)",,"○ 보훈명예수당 - 안산시 거주 국가보훈대상자 - 참전유공자 월 7만원, 그 외 대상자 월 5만원 ※ 기초수급, 차상위계층 등 대상자는 자격에 영향이 있을 수 있으니 확인 후 신청 ○ 참전유공자 사망위로금 - 안산시 거주 참전유공자 사망 시 유족에게 15만원 지급 (1회)",○ 방문 신청 - 주민센터 : 주소지 관할 읍·면·동 주민센터 방문,"보훈명예수당 : 신청서 / 국가유공자 유족증 or 국가유공자증 / 주민등록등,초본 / 통장사본 참전유공자 사망위로금 : 신청서 / 주민등록등,초본(망자) / 통장사본(받으시는분) / 가족관계증명서(망자와 가족이라는 증빙)",,,2021-11-26
생활안정,현금,온라인신청,현금,2022.01.17~2022.02.11,주민센터,농정과 (☎ 054-870-6259),"○ 가족(부부이상)이 함께 귀농한 지 3년 이내, 사업신청연도 기준 만 65세 이하의 세대주○ 전입 전 2년 초과된 농지원부, 농업경영체를 소유하지 않고 있는 자○ 귀농인 : 농촌으로 전입 직전 1년이상 농촌외 지역에서 거주한 자",,"○ 영농정착금지원 : 농기계, 묘목 구입, 비닐하우스 설치 등 영농기반 마련, 4백만원 이하/농가당 ○ 주택수리비지원 : 낙후된 주택 시설 수리, 400만원 이하/농가당 ○ 농지구입 세제지원 : 200만원/농가당 ○ 농지구입이자지원 : 정책자금으로 구입한 농지에 대한 이자 지원, 매년 150만원 이하/농가당 ○ 귀농학교수강료지원 : 30만원 이하/농가당",○ 방문 신청  - 주민센터 : 거주지 관할 읍면동 주민센터에 방문 신청,"등초본, 자격득실확인서, 사업자등록여부확인서, 가족관계증명서, 소득금액증명서, 경영체등록확인서 또는 농지원부 등",,,2022-02-23
생활안정,현금,온라인신청,현금,상시신청,주민센터,주민생활지원과 (☎ 041-930-3363),○ 참전유공자를 제외한 국가유공자,,○ 국가유공자 보훈명예수당 : 월 10만원,○ 방문 신청 - 주민센터 : 거주지 관할 읍면동 주민센터에 방문 신청,통장계좌사본,,,2022-07-08
생활안정,현금,온라인신청,현금,상시신청,주민센터                                                                                                                                                                                                                                                                        시·군·구청,복지정책과 (☎ 02-820-9545),○ 동작구에 주민등록을 두고 거주하는 국가보훈대상자 ※ 서울시에서 다른 수당을 받는 경우 대상에서 제외,,○ 동작구에 주민등록을 두고 거주하는 국가보훈대상자에게 매달 말일 보훈예우수당(3만원) 지급,○ 방문 신청  - 주민센터 : 관할 동주민센터 방문 신청 - 시군구 : 구청(복지정책과) 방문 신청,,,,2022-01-26
생활안정,현금,온라인신청,현금,상시신청,주민센터,주민생활지원과 (☎ 041-930-3363),○ 참전유공자,,○ 참전명예수당 : 월 20만원 지원,○ 방문 신청 - 주민센터 : 거주지 관할 읍면동 주민센터에 방문 신청,통장계좌사본,,,2022-01-25
생활안정,현금,온라인신청,현금,상시신청,주민센터,복지정책과 (☎ 032-880-7318),○ 만 65세 이상 국가유공자 또는 수권자로 지정된 유족,,○ 만 65세 이상 국가유공자 또는 수권자로 지정된 유족에게 매달 8만원 지급,○ 방문 신청 - 주민센터 : 거주지 관할 읍면동 주민센터에 방문 신청,"유공자증 또는 유공자 유족증, 통장",,,2022-07-15
생활안정,현금,온라인신청,현금,상시신청,주민센터,사회복지과 (☎ 054-979-6643),"○ 관내 주소를 둔 참전유공자 ○ 관내 주소를 둔  「국가유공자 등 예우 및 지원에 관한 법률」제4조제1항 각 호의 어느 하나에 해당하는 사람 및 특수임무유공자  ○ 관내 주소를 둔 사망한 참전유공자의 배우자  ○ 참전명예수당대상자 중 사망한 자   ○ 보훈명예수당대상자 중 사망한자, 독립유공자 및 유족",,○ 참전명예수당 : 월 20만원 ○ 보훈명예수당 : 월 10만원 ○ 참전미망인수당 : 월 5만원 ○ 참전명예수당대상자 사망위로금 : 30만원 ○ 보훈명예수당대상자 사망위로금 : 30만원 ○ 독립유공자 및 유족 의료비 지원 : 가구당 연 400만원 이내,○ 신청방법- 방문신청: 거주지 관할 읍면사무소에 방문 신청- 온라인신청: 보조금 24 신청,,,,2022-01-27
생활안정,현금,온라인신청,현금,상시신청,주민센터,서귀포시 복지위생국 노인장애인과 (☎ 064-760-2394),"○ 심한장애인 - 제외대상 : 차량소유자*, 보장시설수급자** *차량소유자 : 장애당사자 명의의 차량 소유 장애인(공동명의 소유 포함) **보장시설수급자 : 국민기초생활보장법 제32조에 따른 보장시설 수급자",,"○ 1인 월 25,000원 지원 - 분기별 본인 통장 입금(3·6·9·12월)",○ 방문 신청 - 주민센터 : 주소지 읍면동 주민센터를 방문하여 신청서 작성 및 통장사본 제출,,,,2021-11-29
생활안정,현금,온라인신청,현금,상시신청,주민센터                                                                                                                                                                                                                                                                        시·군·구청,복지지원과 (☎ 033-250-3094),"○ 다음에 해당하는 춘천시에 주소를 둔 만65세이상 국가보훈대상자에게 월 15만원을 지급 - 「독립유공자예우에 관한 법률」 제4조제2호의 애국지사 - 「독립유공자예우에 관한 법률」 제4조제1호의 순국선열, 「국가유공자 등 예우 및 지원에 관한 법률」(이하 “법”이라 한다) 제4조제1항제3호의 전몰군경 및 제5호의 순직군경의 유족 중 선순위자 1명 - 법 제4조제1항제4호의 전상군경, 같은 항 제6호의 공상군경 및 제9호의 6ㆍ25참전 재일학도의용군인 - 법 제4조제1항제7호의 무공수훈자 - 법 제4조제1항제12호의 4ㆍ19혁명부상자 및 제13호의 4ㆍ19혁명공로자 - 「고엽제후유의증 등 환자지원 및 단체설립에 관한 법률」 제7조의3제1항에 따라 수당을 지급받는 고엽제후유의증환자 - 「특수임무유공자 예우 및 단체 설립에 관한 법률」 제6조에 따라 등록 및 결정된 특수임무유공자 - 제1호 및 제3호의 어느 하나에 해당하는 사람이 사망한 경우 그 유족 중 선순위자 1명 - 법 제4조제1항제10호의 참전유공자 <개정 2019.11.14>",,국가보훈대상자에게 보훈명예수당 월 15만원을 지급,- 거주지 관할 읍면동 행정복지센터에 방문 신청- 정부24온라인 신청,"1. 국가유공자임을 확인할 수 있는 서류 1부.2. 유족의 경우, 국가유공자와의 관계를 확인할 수 있는 서류 1부.",,,2022-01-17
