상세검색_서비스분야,상세검색_지원형태,상세검색_신청방법,게시글_id,게시글_url,제목,요약,지역상위,지역하위,지원형태,신청기간,접수기관,전화문의,지원대상,선정기준,지원내용,신청방법,제출서류,문의처,최종수정일,스크랩시간
주거-자립,현물,타사이트신청,305000000140,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/305000000140?administOrgCd=ALL,저소득층 주거급여 지원,,서울특별시,동대문구,현금현물,상시신청,주민센터,사회복지과 (☎ 02-2127-4238),소득인정액이 기준중위소득 46% 이하인 가구,,O 임차급여 - 주거급여 수급자 중 타인의 주택 등에 임차로 거주하는 가구에 임차급여 지원 - 기준임대료에 의거 지원O 수선유지급여 - 주거급여 수급자 중 주택을 소유하고 그 주택에 거주하는 가구에 수선유지급여 지원 - 주택 노후도에 따른 현물(주택 수선) 지원,"O 방문, 온라인O 방문 : 주민등록지 주민센터(신분증 지참)O 온라인 : 복지로 (http://online.bokjiro.go.kr)",,사회복지과 (☎  02-2127-4238),2022-07-19,202210061351
주거-자립,현물,방문신청,161300000081,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/161300000081?administOrgCd=ALL,농어촌 장애인 주택주거용 편의시설 설치지원,농어촌 저소득 등록 장애인의 생활 및 이동에 불편이 없도록 주거용 편의시설 설치를 지원함으로써 장애인의 일상생활 편의 증진 도모,중앙부처,,현물,지자체에서 별도로 정하여 운영,시·군·구청,해당지역 시군구청 (☎ 시군구별 상이),○ 「장애인복지법 」제2조에 해당하는 등록장애인 중 농어촌지역에 거주하는 자로서 가구의 소득이 전년도 도시근로자 가구당 월평균소득액 이하인 자,"지원대상과 동일 ○ 중복수혜불가 조건 - 지자체 등에서 지원을 받고 3년이 경과하지 아니한 자 또는 금융기관 등에 주택개조 비용융자를 추천하여 개조지원을 받은 자  -  수급자의 수선유지급여, 유사한 주거환경 등과 관련된 개선사업 지원을 받은 자. 다만, 지원내용이 중복되지 않은 경우 지원 가능   *  타 법령에 의한 주택개선사업 등 수혜자도 지원내용이 중복되지 않으면 지원 가능","○ 장애인의 이동 및 생활에 적합하도록 편의시설 개선에 소요되는 비용(호당 380만원)을 국가와 지자체가 공동부담(50:50)하여 지원 - 주택 내 편의시설‧안전장치 설치, 이동편의시설 설치 등(외부 화장실 실내 설치, 욕실 개조, 출입‧경사로 설치 등 포함)","지원대상 장애인 등 선정을 위한 공고, 신청방법 및 절차 등에 대하여는 지자체가 별도로 정하여 운영",지자체에서 별도로 정하여 운영,해당지역 시군구청 (☎  시군구별 상이),2021-12-15,202210061351
주거-자립,현물,방문신청,631000000107,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/631000000107?administOrgCd=ALL,코로나19 주거위기가구 긴급주거지원,,울산광역시,,현금현물,상시신청,주민센터,건축주택과 (☎ 052-229-6962),"○ 코로나19로 인한 3월이상 월세체납자, 이재민, 긴급주거지원대상자",,"○ 지원대상 : 월세체납으로 명도소송진행 등 퇴거위기가구, 이재민, 긴급주거지원 대상자 ○ 지원내용 : 공공임대주택 40호 무상공급, 수도, 전기료 등 관리비 지원 ○ 지원기간 : 2020. 10. ~ 2022.9",○ 방문 신청 - 주민센터 : 거주지 관할 읍면동 주민센터에 방문 신청,,건축주택과 (☎  052-229-6962),2021-11-24,202210061351
주거-자립,현물,방문신청,642000000678,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000678?administOrgCd=ALL,강원도형 수선유지 주거급여 지원,,강원도,,현물,접수기관 별 상이,주민센터                                                                                                                                                                                                                                                                        시·군·구청,건축과 (☎ 033-249-3468),"○ 기준 중위소득 50%이하 차상위계층 중 고령자, 장애인, 소년·소녀가정, 다자녀 가정, 한부모가족 등",,"○ 지원대상 - 기준 중위소득 50%이하 차상위계층 중 고령자, 장애인, 소년·소녀가정, 다자녀 가정, 한부모가족 등 - 자가 및 임차가구(임대인이 주택수선 후 4년 이상 임대를 동의한 경우) ○ 지원내용 - 도배·장판교체, 보일러·담장·벽체수리, 지붕·화장실 개선, 소방시설 등   - 가구당 최대 4백만원 지원",○ 방문 신청 - 주민센터 : 주소지 읍면동 주민센터에 방문 신청 - 시군 : 주소지 시군 방문 신청,,건축과 (☎  033-249-3468),2022-02-07,202210061351
주거-자립,현물,방문신청,304000000119,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/304000000119?administOrgCd=ALL,"저소득층 소규모 집수리 지원(방충문,단열재)",,서울특별시,광진구,현물,상시신청,"거주지 동주민센터, 광진주거복지센터",광진구 사회복지장애인과 (☎ 02-450-7094),"○ 국민기초수급자, 차상위계층, 한부모가족 등 집수리가 필요한 저소득 가구",,"○ 하절기(방충문), 동절기(단열재) 등 냉난방비 절감을 위한 주택개량(간편 집수리) 서비스","○ 방문 신청 - 기타 : 거주지 동주민센터, 광진주거복지센터",,광진구 사회복지장애인과 (☎  02-450-7094),2022-08-19,202210061351
주거-자립,현물,방문신청,443000000127,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/443000000127?administOrgCd=ALL,전입주민 쓰레기종량제봉투 지원,,충청북도,옥천군,현물,상시신청,주민센터,옥천군청 환경과 (☎ 043-730-3453),○ 타 지역에 1년이상 거주하다 군에 전입신고하고 실제 6개월 이상 거주하는 세대,,○ 종량제봉투 20리터 50매 지원 - 타 지역에 1년이상 거주하다 옥천군에 전입신고하고 실제 6개월 이상 거주하는 세대 대상,○ 방문 신청 - 주민센터 : 읍 · 면 주민센터 방문 신청 - 옥천군 6개월 거주후 3개월 이내 지원신청서(우편물 발송) 작성 제출,,옥천군청 환경과 (☎  043-730-3453),2022-08-02,202210061351
주거-자립,현물,방문신청,542000000131,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/542000000131?administOrgCd=ALL,저소득층 에너지효율 개선,,경상남도,고성군,현물,상시신청,주민센터,산업건설국 일자리경제과 (☎ 055-670-2244),"○ 생계급여, 의료급여, 주거급여, 교육급여, 차상위계층 및 복지 사각지대의 일반 저소득가구",,"○ 저소득층의 에너지 효율개선을 위한 현물지원 - 단열, 창호공사 및 냉방기기 지원 등 주거환경개선",○ 방문 신청 - 주민센터 : 주소지 관할 읍면동 주민센터에 방문 신청,,산업건설국 일자리경제과 (☎  055-670-2244),2022-07-12,202210061351
주거-자립,현물,방문신청,500000000109,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/500000000109?administOrgCd=ALL,재래식 주거환경정비 지원,,전라남도,진도군,현물기타,1~2월 공고,주민센터,관광개발국 지역개발과 (☎ 061-540-3872),"○ 진도군 관내에 거주하며, 재래식화장실이나 재래식 부엌을 수세식 화장실, 입식부엌으로 변경하려는 자 - 국민기초생활보장법 제2조에 의한 기준중위소득 44퍼센트 이상 60퍼센트 이하인 자 - 장애인·고령자 등 주거약자 지원에 관한 법률 제2조에 따른 주거약자  - 「국민기초생활보장법」 제2조에 따른 수급권자 및 차상위",,○ 주거환경이 열악하여 주택정비가 필요한 관내 주민을 대상으로 재래식 화장실 및 부엌을 수세식 화장실 및 입식부엌으로 개량,○ 방문 신청  : 읍·면 사무소(주민센터) 방문신청,1. 신청서2. 주거실태 현황 조사서3. 개인정보 수집·이용 동의서4. 수급자 및 차상위계층 증명서5.(대리신청시)주택개량 동의서,관광개발국 지역개발과 (☎  061-540-3872),2022-07-17,202210061351
주거-자립,현물,방문신청,487000000122,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/487000000122?administOrgCd=ALL,귀농인 정착 농업시설 지원,,전라남도,구례군,현물,상시신청,구례군농업기술센터                                                                                                                                                                                                                                                                                                주민센터,농업기술센터 (☎ 061-780-2086),○ 구례 이주 직전 주민등록상 주소지가 농촌(읍·면)지역을 제외한 도시지역(동)에 1년 이상 있던 자로 2016. 1. 1. 이후 구례로 이주한 만 70세 이하 농업경영체 등록한 귀농인,,"○ 농가 당 6백만 원 사업비 중 보조70%(4.2백만 원 한도 내 지원), 자부담30% ※ 추가사업비는 자부담 ○ 비닐하우스, 저온저장고, 농업용 관정, 농기계 구입(건조기, 경운기, 관리기, 전정가위 등)선택1 ※ 부속작업기 제외","○ 방문 신청 - 기타 : 구례군 농업기술센터, 해당 읍면사무소 산업팀",,농업기술센터 (☎  061-780-2086),2022-07-07,202210061351
주거-자립,현물,방문신청,427000000183,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000183?administOrgCd=ALL,귀농인 정착 지원,,강원도,영월군,현물,1월중,농업기술센터                                                                                                                                                                                                                                                                                                                        시·군·구청,농업축산과 (☎ 033-370-2330),○ 농촌외 지역에서 1년이상 농업외 산업분야에 종사한자○ 타시군에서 5년이상 연속하여 거주 후 농업경영을 목적으로 영월군에 이주하여 농업에 종사하는 자○ 영월군 전입 및 농업경영체 등록 5년 이하,,○ 농기자재 및 영농시설 설치 지원,○ 방문 신청 - 시군구 : 사업신청서 방문 제출,,농업축산과 (☎  033-370-2330),2022-01-24,202210061351
주거-자립,현물,방문신청,487000000134,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/487000000134?administOrgCd=ALL,귀농·귀촌인 주택수리 지원,,전라남도,구례군,현물,상시신청,구례군농업기술센터                                                                                                                                                                                                                                                                                                주민센터,농업기술센터 (☎ 061-780-2086),○ 구례 이주 직전 주민등록상 주소지가 농촌(읍·면)지역을 제외한 도시지역(동)에 1년 이상 있던 자로 농촌빈집을 매입 또는 5년이상 임차하여 2016. 1. 1. 이후 구례로 이주한 만 70세 이하 귀농․귀촌인 세대주,,"○ 개소(가구)당 5백만원 주택수리비 중 4백만원 지원 - 보조 80%, 자담 20%, 추가사업비는 자담 ○ 수리비는 빈집리모델링, 보일러교체, 지붕․부엌․화장실 개량 등 주거시설의 수리에 한함 - 창고 등 실주거와 관련 없는 부속시설 등은 제외",○ 방문 신청 - 기타 : 농업기술센터,,농업기술센터 (☎  061-780-2086),2022-07-07,202210061351
주거-자립,현물,방문신청,452000000115,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/452000000115?administOrgCd=ALL,친환경농업 청년농부 영농정착 지원,,충청남도,아산시,현물기타,2022.01.24~2022.02.10,주민센터,농정과 친환경농업팀 (☎ 041-537-3655),○ 아산시 관내의 선정된 친환경 청년농부,,○ 청년농부의 영농초기 친환경 농업 유도를 위한 농자재 지원,○ 방문 신청 - 주민센터 : 관할 읍면의 행정복지센터,"신청서, 사업계획서 등",농정과 친환경농업팀 (☎  041-537-3655),2022-03-08,202210061351
주거-자립,현물,방문신청,300000000118,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/300000000118?administOrgCd=ALL,저소득층 주거환경 개선 지원 사업,,서울특별시,종로구,현물,상시신청,주민센터,종로구청 사회복지과 (☎ 02-2148-2574),"○ 국민기초생활수급자, 차상위계층, 일반 저소득가구",,"○ 관내 취약계층 가구에 도배, 장판, 방충망, 창호 교체 등 간편 집수리를 지원하여 저소득층 가구의 삶의 질 향상 도모",○ 관할 동 주민센터 방문하여 신청,,종로구청 사회복지과 (☎  02-2148-2574),2022-07-29,202210061351
주거-자립,현물,기타,648000001076,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/648000001076?administOrgCd=ALL,북한이탈주민 정착 지원,,경상남도,,현물기타,상시신청,경남하나센터,기획조정실 (☎ 055-211-2434),○ 경남도내 최초 전입 북한이탈주민 중 경남하나센터 초기집중교육 수료자○ 집중사례관리 대상자,,"○ 북한이탈주민 지역 적응센터 위문 - 북한이탈주민 200세대 격려 위문품 전달(설날 100, 추석 100)○ 북한이탈주민 역사문화탐방 - 북한이탈주민 국내 역사문화탐방 및 선진지 견학○ 북한이탈주민 자녀 멘토링 사업 - 탈북민자녀와 대학생 1:2멘토링○ 북한이탈주민 필수가전제품 지원 - 도내 최초 전입 북한이탈주민 중 경남하나센터 초기집중교육 수료자 또는 집중사례관리대상자(자격요건 충족시)에게 필수가전제품 지원○ 통일공감대지원(舊 북한이탈주민과 함께하는 통일교육) - 통일문화체험, 통일세미나, 자유토론 등",○ 기타 - 전화 : 경남하나센터 문의(055-263-4138),,기획조정실 (☎  055-211-2434),2022-07-04,202210061351
주거-자립,현물,기타,544000000103,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/544000000103?administOrgCd=ALL,취약계층 주거환경 정비,,경상남도,하동군,현물,상시신청,시·군·구청,주민행복과 (☎ 055-880-2323),"○ 기초생활수급자, 차상위계층",,"○ 저소득 가구의 창호, 지붕, 화장실 등의 주택 보수",○ 기타 - 읍면 추천을 통해 선정,,주민행복과 (☎  055-880-2323),2021-12-15,202210061351
주거-자립,이용권,온라인신청,545000000112,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/545000000112?administOrgCd=ALL,전입세대 지원,,경상남도,산청군,이용권,상시신청,주민센터,기획조정실 (☎ 055-970-6092),○ 타시군 1년이상 주민등록 되어 있다가 2020.1.1.이후 관내 주민등록을 하고 6개월이상 실제로 거주하는 세대,,"○ 전입세대 산청사랑상품권 지급 - 1인 10만원, 2인이상 30만원",○ 방문 신청 - 주민센터 : 주민등록지 읍면사무소 방문 신청,,기획조정실 (☎  055-970-6092),2022-07-18,202210061351
주거-자립,이용권,타사이트신청,WII000000090,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/WII000000090?administOrgCd=ALL,북한이탈주민 사회보장 지원,북한이탈주민의 안정적인 정착지원,중앙부처,,이용권,통일부 서비스담당자 확인필요,통일부,북한이탈주민지원재단 (☎ 02-3215-5815),○ 북한이탈주민 중 기초생계 수급자,지원대상과 동일,○ 기초생계 수급자 대상 지원,"방문, 온라인, 유선, 기타",,북한이탈주민지원재단 (☎  02-3215-5815),2021-12-10,202210061351
주거-자립,이용권,타사이트신청,547000000126,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/547000000126?administOrgCd=ALL,청년농업인 영농정착금 지원,,경상남도,거창군,이용권,상시신청,온라인신청,농업기술센터 (☎ 055-940-8183),○ 만 18세 이상 ~ 만 40세 - 미만 독립경영 및 예정 농업인,,"○ 독립경영 3년 이하인 자 영농경력에 따라 농협 직불카드를 발급하여 바우처 방식으로 금액 지급  - 독립경영 1년차 월 100만원, 2년차 월 90만원, 3년차 월 80만원 지급",○ 온라인 신청  - 농림사업정보시스템 : www.agri.go.kr,,농업기술센터 (☎  055-940-8183),2021-12-01,202210061351
주거-자립,이용권,방문신청,476000000113,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/476000000113?administOrgCd=ALL,귀농인 정착지원금 지원,,전라북도,임실군,이용권,상시신청,주민센터,농촌활력과 (☎ 063-640-2436),○ 귀농하여 실제 거주하는 세대주로서 거주기간이 3년이상 경과한 농업에 종사하는 귀농인(지원자격 요건을 부기한 날로부터 1년이내 신청),,○ 귀농인에게 임실사랑상품권 지원 - 1가구당 200만원,○ 방문 신청  - 주민센터 : 읍·면사무소 방문신청,,농촌활력과 (☎  063-640-2436),2021-12-01,202210061351
주거-자립,이용권,방문신청,307000000127,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/307000000127?administOrgCd=ALL,무더위 안전숙소 운영,,서울특별시,성북구,이용권,2022.07.01~2022.08.31,주민센터,성북구 도시안전과 (☎ 02-2241-3614),"○ 만 65세 이상의 독거, 고령 부부 등 저소득 주거취약계층",,○ 무더위 안전숙소 운영  - 운영기간 : 매년 7월 ~ 8월 중 폭염 특보 발효시  - 운영장소 : 성북구 관내 지정된 호텔 등 숙소  - 이용대상 : 만65세이상 저소득 어르신 등  - 이용방법 : 거주동 주민센터신청후 확인증을 지참하여 숙소 이용,○ 주민등록상 주소지 동주민센터에 신분증을 지참하여 방문 신청 - 매년 7월~8월 중 폭염특보 발효 시에만 신청 가능,신분증,성북구 도시안전과 (☎  02-2241-3614),2022-07-19,202210061351
주거-자립,이용권,방문신청,489000000131,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/489000000131?administOrgCd=ALL,전입 장려금 지원,,전라남도,보성군,현물이용권,상시신청,주민센터,기획예산담당관 인구정책계 (☎ 061-850-5066),○ 다른 시군구에서 우리군으로 전입한 자(2년 이내 재전입자 제외),,"○ 전입 장려금 지원(일반) - 대상: 다른 시군구에서 우리군으로 전입한 자(2년 이내 재전입자 제외)  - 지원: 율포해수녹차센터 입욕권(10매), 쓰레기종량제봉투 3매(20리터) ○ 전입 장려금 지원(중고등학생) - 대상: 다른 시군구에서 우리군으로 전입한 자(2년 이내 재전입자 제외) 중 관내 중고등학교 재학생 - 지원: 보성사랑상품권 30만원","○ 방문 신청  - 주민센터: 해당 주소지 읍면사무소 방문  - 신청방법: 전입장려금 지원신청서 작성 - 구비서류: 신분증, 재학증명서(중고등학생에 한함) 등","신분증, 재학증명서(중고등학교 재학생에 한함) 등",기획예산담당관 인구정책계 (☎  061-850-5066),2022-07-18,202210061351
주거-자립,이용권,방문신청,646000000129,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/646000000129?administOrgCd=ALL,북한이탈주민 전남 정착지원금 지급,,전라남도,,현물이용권,상시신청,전남하나센터,자치행정과 (☎ 061-286-3542),○ 전라남도에 새로 전입하는 북한이탈주민 및 생계위기 북한이탈주민,,○ 전라남도에 새로 전입하는 북한이탈주민에게 필수 전자제품 등 생계물품 지원 ○ 하나원퇴소 전남 초기 진입 북한이탈주민 지원 ○ 타지역 거주 후 전남 신규진입 북한이탈주민 지원 ○ 위기발생 취약계층 지원,○ 방문 신청타 : 전남하나센터,,자치행정과 (☎  061-286-3542),2022-07-18,202210061351
주거-자립,이용권,방문신청,450000000125,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/450000000125?administOrgCd=ALL,관외전입자 온누리상품권 지원,,충청남도,공주시,이용권,상시신청,주민센터,여성가족과 (☎ 041-840-2581),○ 관외에서 1년 이상 주민등록 후 공주시로 전입하는 자,,○ 지원대상 : 관외에서 1년이상 주민등록 후 공주시로 전입하는 자 ○ 지원금액 : 온누리상품권 3만원 ○ 지원기간 : 전입 즉시 지급,○ 방문 신청 - 주민센터 : 거주지 관할 읍면동 주민센터에 방문 신청,,여성가족과 (☎  041-840-2581),2022-07-08,202210061351
주거-자립,서비스,타사이트신청,641000000132,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/641000000132?administOrgCd=ALL,일하는 가정 주거공간개선 사업,,경기도,,서비스기타,상시신청,시군 여성새로일하기센터,수원영통여성새일센터 (☎ 031-206-1919)성남여성새일센터 (☎ 031-718-6696),"○  사업해당 시군에 거주, 미성년 자녀가 일하는 가정(중위소득 120% 이하)",,○ 여성새일센터를 통해 양성된 정리수납전문가를 일하는 가정에 연계하여 주거공간개선 서비스 제공 및  중장년 여성 일자리 창출,○ 온/오프라인 신청  -  경기도 내 운영중인 시군 소관 여성새일센터로 연락처하여 홈페이지 또는 방문 신청,"건겅보험납부증명서, 재직증명서 등",수원영통여성새일센터 (☎  031-206-1919)성남여성새일센터 (☎  031-718-6696)안산여성새일센터 (☎  031-439-2060)남양주여성새일센터 (☎  031-577-0886)의정부여성새일센터 (☎  031-853-7243)화성여성새일센터 (☎  031-267-8792)구리여성새일센터 (☎  031-550-8331)하남여성새일센터 (☎  031-790-6248),2022-07-04,202210061351
주거-자립,서비스,방문신청,374000000112,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/374000000112?administOrgCd=ALL,일하는 가정 주거공간개선(정리수납) 지원,,경기도,수원시,서비스,매년 4~5월경  ※신청자가 많을 경우 조기 마감될 수 있음,"영통여성새로일하기센터(수원시 영통구 반달로 7번길 40, 평익빌딩 10층)",영통여성새로일하기센터 (☎ 031-206-1919),○ 공고일 기준 아래 3가지 요건이 모두 충족되는 가구   - 수원시에 주소를 두고 실제 거주하는 일하는 가정   - 미성년 자녀(만18세 이하)가 있는 일하는 가정   - 소득인정액이 기준중위소득 120% 이하 기구,,○ 정리수납 전문가를 일하는 가정에 연계하여 주거공간 개선(정리수납) 서비스 제공,"○ 방문 신청 -  영통여성새로일하기센터(수원시 영통구 반달로 7번길 40, 평익빌딩 10층)○ 기타 - 이메일 : sw1919@chol.com - 팩스 : 031-206-1921","  서비스신청서, 개인정보이용동의서 1부 - 주민등록등본 1부 - 건강보험 납부확인서 1부 - 경제활동 증빙서류(재직증명서, 사업자등록증 등) 1부 ※ 직장건강보험 가입자는 ""경제활동 증빙서류"" 제출 생략 가능",영통여성새로일하기센터 (☎  031-206-1919),2022-08-08,202210061351
주거-자립,서비스,방문신청,SD0000001088,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/SD0000001088?administOrgCd=ALL,시설입소 장애인 서비스제공,일반 가정에서 생활이 어려운 장애인에게 거주 및 재활서비스를 제공,중앙부처,,서비스,접수기관 별 상이,시·군·구청,해당지역 시군구청 (☎ 129),○ 장애인거주시설 입소 장애인 및 종사자,"○ 장애인 중 국민기초생활보장수급자 및 부양자가 없거나 부양을 받을 수 없는 자로서 서비스지원 종합조사 결과 충족 및 지자체의 시설 입소 적격성 심사를 거쳐 시설 입소 결정을 받은 자 * 서비스 지원 종합조사 결과 - 중증장애인거주시설 : 성인- 240점 이상, 아동 - 190점 이상 - 장애유형별 거주시설 : 성인-120점 이상, 아동 - 110점 이상 ○ (장애영유아거주시설, 장애인단기거주시설, 장애인공동생활가정은 서비스 지원 종합조사 결과에 관계없이 입소 가능)",○ 시설입소 장애인에 대한 서비스 제공,시군구청을 통해 유선 및 방문 신청,장애인 등록증 등,해당지역 시군구청 (☎  129),2022-06-15,202210061351
주거-자립,서비스,방문신청,641000000189,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/641000000189?administOrgCd=ALL,경기도 저소득취약계층 생활안심케어(깔끄미사업),,경기도,,서비스기타,상시신청,주민센터,경기도 복지사업과 (☎ 031-8008-5684),"○저소득가구 중위소득 50% 이내(독거노인, 장애인 우선)",,"○도내 청소 자활기업이 저소득 취약계층에게 청소 서비스 제공 - 기본청소(먼지제거, 바닥청소) - 주방청소(싱크대청소, 가스레인지 및 후드청소) - 욕실청소(욕실바닥, 세면대 및 변기청소) - 소독·방역(해충구제 및 소독)","○관할 행정복지센터 문의, 신청",,경기도 복지사업과 (☎  031-8008-5684),2022-07-07,202210061351
주거-자립,서비스,방문신청,308000000125,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/308000000125?administOrgCd=ALL,찾아가는 맞춤형 주거환경 개선 지원,,서울특별시,강북구,서비스,상시신청,시립강북노인종합복지관,어르신복지과 (☎ 02-901-6717),○ 강북구 내 주거취약 홀몸어르신,,"○ 지역 내 주거취약계층 어르신의 생활환경 개선 및 지원 - 정리정돈, 인식개선교육, 가정 내 시설물 교체 및  개보수 등 ○ 맞춤형 정리정돈 서비스 지원",○ 방문 신청 - 기타 : 시립강북노인종합복지관,,어르신복지과 (☎  02-901-6717),2022-07-13,202210061351
주거-자립,서비스,방문신청,322000000111,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/322000000111?administOrgCd=ALL,중증장애인 스마트 홈 조성 지원,,서울특별시,강남구,서비스,미정,보조사업자,사회복지과 (☎ 02-3423-5876),○ 저소득 장애인,,"○ 중증장애인의 주거공간 내 무장애 공간 조성을 통한 일상생활 개선 지원- 높낮이 조절 싱크대, 조명제어장치, 스마트 인터폰, 전동빨래건조대 등",○ 방문 신청 - 기타 : 보조사업기관(미정)에 방문 신청,,사회복지과 (☎  02-3423-5876),2022-02-16,202210061351
주거-자립,서비스,방문신청,531000000125,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/531000000125?administOrgCd=ALL,장애인 자립 지원,,경상남도,진주시,서비스,상시신청,주민센터,노인장애인과 (☎ 055-749-8502),"○ 장애인활동지원, 중증장애인도우미지원 서비스 이용자 중 서비스 추가 제공이 필요한 장애인",,○ 장애인활동보조 도우미 지원,○ 방문 신청 - 주민센터 : 주소지 관할 읍면동 주민센터에 방문 신청,,노인장애인과 (☎  055-749-8502),2021-11-30,202210061351
주거-자립,서비스,방문신청,629000000131,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/629000000131?administOrgCd=ALL,탈 시설 자립지원주거사업(체험홈),,광주광역시,,서비스,상시신청,시·군·구청,장애인종합지원센터 (☎ 062-349-0952)광주장애인자립생활센터 (☎ 062-384-6462),○ 거주시설 이용 장애인,,○ 자립을 희망하는 시설 장애인들에게 단기 중기 체험 프로그램을 운영하여 지역사회 적응기회 제공 및 자립 동기 부여 제공,○ 방문 신청 - 자립생활지원센터(9개소),,장애인종합지원센터 (☎  062-349-0952)광주장애인자립생활센터 (☎  062-384-6462)빛고을장애인자립생활센터 (☎  062-682-5254)열린케어장애인자립생활지원센터 (☎  062-672-0195)오방장애인자립생활지원센터 (☎  062-433-7782)우리이웃장애인자립지원생활센터 (☎  062-264-3157)어울림장애인자립생활지원센터 (☎  062-385-3364)한마음장애인자립생활지원센터 (☎  062-432-8025)나눔장애인자립생활지원센터 (☎  062-956-8352)무등장애인자립생활지원센터 (☎  062-433-0215),2022-07-19,202210061351
주거-자립,서비스,방문신청,135200000085,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/135200000085?administOrgCd=ALL,장애인공동생활가정 운영지원,"지역사회 내 일반주택을 이용하여 장애인들이 스스로 사회에 적응하도록 가정생활, 사회활동 등의 자립생활을 지원하는 장애인 공동생활 가정을 운영",중앙부처,,서비스,접수기관 별 상이,시·군·구청,보건복지상담센터 (☎ 129),○ 장애인거주시설(공동생활가정포함) 공통 - 등록장애인으로서 '국민기초생활보장법'에 따른 수급권자 - 수급권자가 아닌 경우라도 등록장애인으로 부양의무자(국민기초생활보장법에 의한 부양의무자를 말함)가 없거나 부양의무자가 있어도 부양능력이 없거나 부양을 받을 수 없는 자 - 입양기관 보호 장애아동 ○ 장애인공동생활가정 특성상  - 장애인거주시설 및 재가장애인으로서 공동생활가정에서 생활하는 것이 재활 및 자립에 더 효과적이라고 인정되는 자 - 사회재활교사의 도움을 받아 공동생활을 하는데 큰 지장이 없는 자,지원대상과 동일,"○ 공동생활가정 이용 장애인 돌봄 및 자립지원 - 장애인들이 스스로 사회에 적응하도록 가정생활, 사회활동 등의 자립생활을 지원","○ 장애인공동생활가정 입소 절차 - 장애인본인 또는 친족, 그 밖의 관계인이 관할 시군구청정에게 신청 - 적격성여부 심사 : 입소대상 자격기준에 합당한 자로서 검진, 상담 또는 가정 실태조사 등을 행하고 장애인복지시설 이용 의뢰서를 작성 - 이용계약 체결 : 시설장은 장애인(가족 포함)에게 해당 시설에서 제공되는 서비스 정보를 제공하고 이용계약 체결 여부에 대해 협의 후 계약을 체결하고 시군구청장에게 보고",장애인등록증,보건복지상담센터 (☎  129),2022-06-10,202210061351
주거-자립,서비스,방문신청,SD0000007484,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/SD0000007484?administOrgCd=ALL,난민인정 신청자 등에 대한 주거지원,생활이 어려운 난민 신청자 등의 주거지원,중앙부처,,서비스,접수기관 별 상이,외국인종합안내센터,외국인종합안내센터 (☎ 1345),"○ 난민인정 신청자, 인도적 체류허가자, 난민인정자 등",지원대상과 동일,"○ 숙소 및 식사 제공, 일용품 급여, 침구 및 물품 대여, 의료지원, 사회 적응교육 등",체류지 관할 출입국·외국인사무소에 직접 방문 신청,"이용 신청서, 신분증 사본, 가족관계 입증서류, 생활실태 기술서, 건강진단 신청서 등",외국인종합안내센터 (☎  1345),2022-01-19,202210061351
